District,Year,Enrollment Type,County,District Classification,Enrollment Breakdown,Metric,Region,Col Label,Color Desc,Row Label,Status %
Grossmont Union High,2013,Pacific Isle,San Diego,High School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,No Color,No Color,No Color,72.70%
Grossmont Union High,2014,Pacific Isle,San Diego,High School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,No Color,No Color,No Color,75.00%
Grossmont Union High,2015,Pacific Isle,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,73.90%
Grossmont Union High,2012,Amer Indian,San Diego,High School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Increased Significantly,Yellow,Low,76.90%
Grossmont Union High,2012,Black,San Diego,High School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Increased Significantly,Yellow,Low,75.70%
Grossmont Union High,2012,Hispanic,San Diego,High School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Increased Significantly,Yellow,Low,72.80%
Grossmont Union High,2013,Amer Indian,San Diego,High School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Increased Significantly,Yellow,Low,69.10%
Grossmont Union High,2013,Black,San Diego,High School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Increased Significantly,Yellow,Low,74.10%
Grossmont Union High,2013,Hispanic,San Diego,High School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Increased Significantly,Yellow,Low,74.10%
Grossmont Union High,2014,Amer Indian,San Diego,High School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Increased Significantly,Yellow,Low,61.50%
Grossmont Union High,2014,Black,San Diego,High School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Increased Significantly,Yellow,Low,63.30%
Grossmont Union High,2014,Hispanic,San Diego,High School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Increased Significantly,Yellow,Low,70.50%
Grossmont Union High,2015,Amer Indian,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased Significantly,Yellow,Low,76.70%
Grossmont Union High,2015,Black,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased Significantly,Yellow,Low,76.70%
Grossmont Union High,2015,Hispanic,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased Significantly,Yellow,Low,82.20%
Sweetwater Union High,2012,All Students,San Diego,High School District,All Students,prioryear3_status,San Diego/Imperial,Increased,Green,Medium,86.20%
Sweetwater Union High,2013,All Students,San Diego,High School District,All Students,prioryear2_status,San Diego/Imperial,Increased,Green,Medium,85.30%
Sweetwater Union High,2014,All Students,San Diego,High School District,All Students,prioryear1_status,San Diego/Imperial,Increased,Green,Medium,84.40%
Sweetwater Union High,2015,All Students,San Diego,High School District,All Students,currstatus,San Diego/Imperial,Increased,Green,Medium,86.50%
San Dieguito Union High,2012,SwD,San Diego,High School District,Disability Status,prioryear3_status,San Diego/Imperial,Maintained,Yellow,Medium,87.60%
San Dieguito Union High,2013,SwD,San Diego,High School District,Disability Status,prioryear2_status,San Diego/Imperial,Maintained,Yellow,Medium,87.10%
San Dieguito Union High,2014,SwD,San Diego,High School District,Disability Status,prioryear1_status,San Diego/Imperial,Maintained,Yellow,Medium,85.30%
San Dieguito Union High,2015,SwD,San Diego,High School District,Disability Status,currstatus,San Diego/Imperial,Maintained,Yellow,Medium,85.90%
Sweetwater Union High,2012,Two or More,San Diego,High School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Declined,Orange,Medium,94.10%
Fallbrook Union High,2012,White,San Diego,High School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Declined,Orange,Medium,90.90%
Sweetwater Union High,2012,White,San Diego,High School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Declined,Orange,Medium,88.60%
Sweetwater Union High,2013,Two or More,San Diego,High School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Declined,Orange,Medium,88.80%
Fallbrook Union High,2013,White,San Diego,High School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Declined,Orange,Medium,90.60%
Sweetwater Union High,2013,White,San Diego,High School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Declined,Orange,Medium,88.30%
Sweetwater Union High,2014,Two or More,San Diego,High School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Declined,Orange,Medium,92.30%
Fallbrook Union High,2014,White,San Diego,High School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Declined,Orange,Medium,91.90%
Sweetwater Union High,2014,White,San Diego,High School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Declined,Orange,Medium,86.00%
Sweetwater Union High,2015,Two or More,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Orange,Medium,89.00%
Fallbrook Union High,2015,White,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Orange,Medium,86.10%
Sweetwater Union High,2015,White,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Orange,Medium,86.80%
Grossmont Union High,2012,Asian,San Diego,High School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Increased,Green,Medium,81.70%
Sweetwater Union High,2012,Hispanic,San Diego,High School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Increased,Green,Medium,84.60%
Grossmont Union High,2012,Two or More,San Diego,High School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Increased,Green,Medium,86.90%
Grossmont Union High,2013,Asian,San Diego,High School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Increased,Green,Medium,87.00%
Sweetwater Union High,2013,Hispanic,San Diego,High School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Increased,Green,Medium,83.90%
Grossmont Union High,2013,Two or More,San Diego,High School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Increased,Green,Medium,88.00%
Grossmont Union High,2014,Asian,San Diego,High School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Increased,Green,Medium,73.70%
Sweetwater Union High,2014,Hispanic,San Diego,High School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Increased,Green,Medium,82.60%
Grossmont Union High,2014,Two or More,San Diego,High School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Increased,Green,Medium,82.50%
Grossmont Union High,2015,Asian,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Green,Medium,86.40%
Sweetwater Union High,2015,Hispanic,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Green,Medium,85.20%
Grossmont Union High,2015,Two or More,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Green,Medium,87.00%
Grossmont Union High,2012,White,San Diego,High School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Increased Significantly,Green,Medium,80.90%
Grossmont Union High,2013,White,San Diego,High School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Increased Significantly,Green,Medium,82.80%
Grossmont Union High,2014,White,San Diego,High School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Increased Significantly,Green,Medium,79.50%
Grossmont Union High,2015,White,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased Significantly,Green,Medium,86.80%
Escondido Union High,2012,All Students,San Diego,High School District,All Students,prioryear3_status,San Diego/Imperial,Increased,Green,High,90.60%
Escondido Union High,2013,All Students,San Diego,High School District,All Students,prioryear2_status,San Diego/Imperial,Increased,Green,High,90.40%
Escondido Union High,2014,All Students,San Diego,High School District,All Students,prioryear1_status,San Diego/Imperial,Increased,Green,High,91.10%
Escondido Union High,2015,All Students,San Diego,High School District,All Students,currstatus,San Diego/Imperial,Increased,Green,High,92.80%
San Dieguito Union High,2012,Econ Disadv,San Diego,High School District,Economic Status,prioryear3_status,San Diego/Imperial,Declined,Yellow,High,91.70%
San Dieguito Union High,2013,Econ Disadv,San Diego,High School District,Economic Status,prioryear2_status,San Diego/Imperial,Declined,Yellow,High,94.30%
San Dieguito Union High,2014,Econ Disadv,San Diego,High School District,Economic Status,prioryear1_status,San Diego/Imperial,Declined,Yellow,High,93.40%
San Dieguito Union High,2015,Econ Disadv,San Diego,High School District,Economic Status,currstatus,San Diego/Imperial,Declined,Yellow,High,91.60%
Escondido Union High,2012,Econ Disadv,San Diego,High School District,Economic Status,prioryear3_status,San Diego/Imperial,Increased,Green,High,88.10%
Escondido Union High,2013,Econ Disadv,San Diego,High School District,Economic Status,prioryear2_status,San Diego/Imperial,Increased,Green,High,87.00%
Escondido Union High,2014,Econ Disadv,San Diego,High School District,Economic Status,prioryear1_status,San Diego/Imperial,Increased,Green,High,88.30%
Escondido Union High,2015,Econ Disadv,San Diego,High School District,Economic Status,currstatus,San Diego/Imperial,Increased,Green,High,91.20%
San Dieguito Union High,2013,Two or More,San Diego,High School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,No Color,No Color,No Color,100.00%
San Dieguito Union High,2015,Two or More,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,92.30%
Escondido Union High,2012,Asian,San Diego,High School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Declined,Yellow,High,94.90%
Escondido Union High,2013,Asian,San Diego,High School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Declined,Yellow,High,95.60%
Escondido Union High,2014,Asian,San Diego,High School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Declined,Yellow,High,96.70%
Escondido Union High,2015,Asian,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Yellow,High,94.70%
San Dieguito Union High,2012,Hispanic,San Diego,High School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Maintained,Green,High,92.20%
San Dieguito Union High,2013,Hispanic,San Diego,High School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Maintained,Green,High,94.40%
San Dieguito Union High,2014,Hispanic,San Diego,High School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Maintained,Green,High,93.80%
San Dieguito Union High,2015,Hispanic,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Green,High,93.30%
Escondido Union High,2012,Hispanic,San Diego,High School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Increased,Green,High,88.40%
Escondido Union High,2013,Hispanic,San Diego,High School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Increased,Green,High,87.60%
Escondido Union High,2014,Hispanic,San Diego,High School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Increased,Green,High,87.50%
Escondido Union High,2015,Hispanic,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Green,High,91.70%
Sweetwater Union High,2012,Amer Indian,San Diego,High School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,No Color,No Color,No Color,79.00%
Sweetwater Union High,2013,Amer Indian,San Diego,High School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,No Color,No Color,No Color,76.50%
Sweetwater Union High,2014,Amer Indian,San Diego,High School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,No Color,No Color,No Color,70.80%
Sweetwater Union High,2015,Amer Indian,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,91.70%
San Dieguito Union High,2012,All Students,San Diego,High School District,All Students,prioryear3_status,San Diego/Imperial,Maintained,Blue,Very High,97.80%
San Dieguito Union High,2013,All Students,San Diego,High School District,All Students,prioryear2_status,San Diego/Imperial,Maintained,Blue,Very High,98.00%
San Dieguito Union High,2014,All Students,San Diego,High School District,All Students,prioryear1_status,San Diego/Imperial,Maintained,Blue,Very High,97.50%
San Dieguito Union High,2015,All Students,San Diego,High School District,All Students,currstatus,San Diego/Imperial,Maintained,Blue,Very High,97.60%
Julian Union High,2012,All Students,San Diego,High School District,All Students,prioryear3_status,San Diego/Imperial,No Color,No Color,No Color,94.40%
Julian Union High,2013,All Students,San Diego,High School District,All Students,prioryear2_status,San Diego/Imperial,No Color,No Color,No Color,100.00%
Julian Union High,2014,All Students,San Diego,High School District,All Students,prioryear1_status,San Diego/Imperial,No Color,No Color,No Color,90.00%
Julian Union High,2015,All Students,San Diego,High School District,All Students,currstatus,San Diego/Imperial,No Color,No Color,No Color,100.00%
Julian Union High,2012,Econ Disadv,San Diego,High School District,Economic Status,prioryear3_status,San Diego/Imperial,No Color,No Color,No Color,94.40%
Julian Union High,2013,Econ Disadv,San Diego,High School District,Economic Status,prioryear2_status,San Diego/Imperial,No Color,No Color,No Color,100.00%
Julian Union High,2014,Econ Disadv,San Diego,High School District,Economic Status,prioryear1_status,San Diego/Imperial,No Color,No Color,No Color,89.50%
Julian Union High,2015,Econ Disadv,San Diego,High School District,Economic Status,currstatus,San Diego/Imperial,No Color,No Color,No Color,100.00%
San Dieguito Union High,2012,Asian,San Diego,High School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Declined,Blue,Very High,98.20%
San Dieguito Union High,2013,Asian,San Diego,High School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Declined,Blue,Very High,99.70%
San Dieguito Union High,2014,Asian,San Diego,High School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Declined,Blue,Very High,99.00%
San Dieguito Union High,2015,Asian,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Blue,Very High,97.90%
San Dieguito Union High,2012,Filipino,San Diego,High School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,No Color,No Color,No Color,100.00%
San Dieguito Union High,2013,Filipino,San Diego,High School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,No Color,No Color,No Color,100.00%
San Dieguito Union High,2014,Filipino,San Diego,High School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,No Color,No Color,No Color,100.00%
San Dieguito Union High,2015,Filipino,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,100.00%
Escondido Union High,2012,Filipino,San Diego,High School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Maintained,Blue,Very High,96.30%
San Dieguito Union High,2012,White,San Diego,High School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Maintained,Blue,Very High,98.70%
Escondido Union High,2012,White,San Diego,High School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Maintained,Blue,Very High,94.00%
Escondido Union High,2013,Filipino,San Diego,High School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Maintained,Blue,Very High,97.90%
San Dieguito Union High,2013,White,San Diego,High School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Maintained,Blue,Very High,98.30%
Escondido Union High,2013,White,San Diego,High School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Maintained,Blue,Very High,95.70%
Escondido Union High,2014,Filipino,San Diego,High School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Maintained,Blue,Very High,97.60%
San Dieguito Union High,2014,White,San Diego,High School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Maintained,Blue,Very High,98.00%
Escondido Union High,2014,White,San Diego,High School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Maintained,Blue,Very High,97.00%
Escondido Union High,2015,Filipino,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Blue,Very High,97.80%
San Dieguito Union High,2015,White,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Blue,Very High,98.30%
Escondido Union High,2015,White,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Blue,Very High,95.70%
San Dieguito Union High,2012,Black,San Diego,High School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,No Color,No Color,No Color,100.00%
San Dieguito Union High,2013,Black,San Diego,High School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,No Color,No Color,No Color,95.50%
San Dieguito Union High,2014,Black,San Diego,High School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,No Color,No Color,No Color,95.00%
San Dieguito Union High,2015,Black,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,100.00%
Sweetwater Union High,2012,Asian,San Diego,High School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Increased,Blue,Very High,92.80%
Sweetwater Union High,2012,Filipino,San Diego,High School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Increased,Blue,Very High,95.00%
Sweetwater Union High,2013,Asian,San Diego,High School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Increased,Blue,Very High,92.30%
Sweetwater Union High,2013,Filipino,San Diego,High School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Increased,Blue,Very High,92.00%
Sweetwater Union High,2014,Asian,San Diego,High School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Increased,Blue,Very High,96.90%
Sweetwater Union High,2014,Filipino,San Diego,High School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Increased,Blue,Very High,93.60%
Sweetwater Union High,2015,Asian,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Blue,Very High,95.20%
Sweetwater Union High,2015,Filipino,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Blue,Very High,95.50%
Sweetwater Union High,2012,Pacific Isle,San Diego,High School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,No Color,No Color,No Color,91.40%
Julian Union High,2012,White,San Diego,High School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,No Color,No Color,No Color,90.90%
Sweetwater Union High,2013,Pacific Isle,San Diego,High School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,No Color,No Color,No Color,82.10%
Julian Union High,2013,White,San Diego,High School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,No Color,No Color,No Color,100.00%
Sweetwater Union High,2014,Pacific Isle,San Diego,High School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,No Color,No Color,No Color,85.00%
Julian Union High,2014,White,San Diego,High School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,No Color,No Color,No Color,88.90%
Sweetwater Union High,2015,Pacific Isle,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,100.00%
Julian Union High,2015,White,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,100.00%
Grossmont Union High,2012,Filipino,San Diego,High School District,Race/Ethnicity,prioryear3_status,San Diego/Imperial,Increased Significantly,Blue,Very High,88.20%
Grossmont Union High,2013,Filipino,San Diego,High School District,Race/Ethnicity,prioryear2_status,San Diego/Imperial,Increased Significantly,Blue,Very High,84.60%
Grossmont Union High,2014,Filipino,San Diego,High School District,Race/Ethnicity,prioryear1_status,San Diego/Imperial,Increased Significantly,Blue,Very High,84.10%
Grossmont Union High,2015,Filipino,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased Significantly,Blue,Very High,95.80%
Grossmont Union High,2016,SwD,San Diego,High School District,Disability Status,currstatus,San Diego/Imperial,Increased Significantly,Red,Very Low,61.20%
Sweetwater Union High,2016,All Students,San Diego,High School District,All Students,currstatus,San Diego/Imperial,Declined,Orange,Low,84.50%
Fallbrook Union High,2016,All Students,San Diego,High School District,All Students,currstatus,San Diego/Imperial,Maintained,Orange,Low,84.30%
Grossmont Union High,2016,All Students,San Diego,High School District,All Students,currstatus,San Diego/Imperial,Increased,Yellow,Low,82.90%
Julian Union High,2016,SwD,San Diego,High School District,Disability Status,currstatus,San Diego/Imperial,No Color,No Color,No Color,84.60%
Fallbrook Union High,2016,SwD,San Diego,High School District,Disability Status,currstatus,San Diego/Imperial,Increased,Yellow,Low,68.00%
Sweetwater Union High,2016,SwD,San Diego,High School District,Disability Status,currstatus,San Diego/Imperial,Increased,Yellow,Low,67.90%
Escondido Union High,2016,SwD,San Diego,High School District,Disability Status,currstatus,San Diego/Imperial,Increased,Yellow,Low,80.00%
Julian Union High,2016,Econ Disadv,San Diego,High School District,Economic Status,currstatus,San Diego/Imperial,No Color,No Color,No Color,76.50%
Fallbrook Union High,2016,Econ Disadv,San Diego,High School District,Economic Status,currstatus,San Diego/Imperial,Declined,Orange,Low,79.60%
Sweetwater Union High,2016,Econ Disadv,San Diego,High School District,Economic Status,currstatus,San Diego/Imperial,Maintained,Orange,Low,82.20%
Grossmont Union High,2016,Econ Disadv,San Diego,High School District,Economic Status,currstatus,San Diego/Imperial,Increased Significantly,Yellow,Low,83.80%
Julian Union High,2016,White,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,84.20%
Fallbrook Union High,2016,Hispanic,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Orange,Low,79.50%
Sweetwater Union High,2016,Hispanic,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Orange,Low,82.90%
Sweetwater Union High,2016,Pacific Isle,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,84.60%
Sweetwater Union High,2016,Black,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Orange,Low,83.70%
Grossmont Union High,2016,Hispanic,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Yellow,Low,78.90%
Grossmont Union High,2016,Black,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased Significantly,Yellow,Low,82.90%
Grossmont Union High,2016,Amer Indian,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,81.80%
Julian Union High,2016,All Students,San Diego,High School District,All Students,currstatus,San Diego/Imperial,Declined,Orange,Medium,88.60%
San Dieguito Union High,2016,SwD,San Diego,High School District,Disability Status,currstatus,San Diego/Imperial,Maintained,Yellow,Medium,86.00%
San Dieguito Union High,2016,Econ Disadv,San Diego,High School District,Economic Status,currstatus,San Diego/Imperial,Declined,Orange,Medium,88.90%
Sweetwater Union High,2016,Asian,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined Significantly,Orange,Medium,86.00%
Sweetwater Union High,2016,Two or More,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Yellow,Medium,89.80%
Grossmont Union High,2016,Two or More,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Yellow,Medium,85.10%
Sweetwater Union High,2016,White,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Yellow,Medium,86.70%
Grossmont Union High,2016,Asian,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Green,Medium,85.50%
Grossmont Union High,2016,White,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Green,Medium,85.30%
Grossmont Union High,2016,Pacific Isle,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,89.30%
Escondido Union High,2016,All Students,San Diego,High School District,All Students,currstatus,San Diego/Imperial,Increased,Green,High,93.30%
Escondido Union High,2016,Econ Disadv,San Diego,High School District,Economic Status,currstatus,San Diego/Imperial,Increased,Green,High,91.30%
San Dieguito Union High,2016,Black,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,90.00%
San Dieguito Union High,2016,Hispanic,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Declined,Yellow,High,90.50%
Sweetwater Union High,2016,Filipino,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Green,High,93.90%
Escondido Union High,2016,Black,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Green,High,94.70%
Grossmont Union High,2016,Filipino,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Green,High,92.60%
Escondido Union High,2016,Hispanic,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Green,High,91.20%
Fallbrook Union High,2016,White,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Green,High,92.40%
Escondido Union High,2016,Two or More,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,91.70%
San Dieguito Union High,2016,All Students,San Diego,High School District,All Students,currstatus,San Diego/Imperial,Maintained,Blue,Very High,97.30%
San Dieguito Union High,2016,Filipino,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,100.00%
San Dieguito Union High,2016,Asian,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Blue,Very High,99.00%
Escondido Union High,2016,Filipino,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Blue,Very High,97.50%
San Dieguito Union High,2016,White,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Maintained,Blue,Very High,98.10%
San Dieguito Union High,2016,Two or More,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,100.00%
Escondido Union High,2016,Asian,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Blue,Very High,100.00%
Escondido Union High,2016,White,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Blue,Very High,97.50%
Escondido Union High,2018,SwD,San Diego,High School District,Disability Status,currstatus,San Diego/Imperial,Declined Significantly,Red,Very Low,61.80%
Grossmont Union High,2018,SwD,San Diego,High School District,Disability Status,currstatus,San Diego/Imperial,Increased,Red,Very Low,62.00%
Sweetwater Union High,2018,SwD,San Diego,High School District,Disability Status,currstatus,San Diego/Imperial,Declined,Orange,Low,68.40%
Fallbrook Union High,2018,SwD,San Diego,High School District,Disability Status,currstatus,San Diego/Imperial,Increased,Yellow,Low,71.00%
Grossmont Union High,2018,Econ Disadv,San Diego,High School District,Economic Status,currstatus,San Diego/Imperial,Increased,Yellow,Low,78.10%
Sweetwater Union High,2018,Pacific Isle,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,70.80%
Grossmont Union High,2018,Pacific Isle,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,No Color,No Color,No Color,70.60%
Grossmont Union High,2018,Hispanic,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased,Yellow,Low,78.80%
Grossmont Union High,2018,Black,San Diego,High School District,Race/Ethnicity,currstatus,San Diego/Imperial,Increased Significantly,Yellow,Low,75.60%
Escondido Union High,2018,All Students,San Diego,High School District,All Students,currstatus,San Diego/Imperial,Declined,Orange,Medium,84.40%
Julian Union High,2018,All Students,San Diego,High School District,All Students,currstatus,San Diego/Imperial,Declined,Orange,Medium,87.80%
Sweetwater Union High,2018,All Students,San Diego,High School District,All Students,currstatus,San Diego/Imperial,Maintained,Yellow,Medium,85.60%
Grossmont Union High,2018,All Students,San Diego,High School District,All Students,currstatus,San Diego/Imperial,Increased,Green,Medium,82.40%
Fallbrook Union High,2018,All Students,San Diego,High School District,All Students,currstatus,San Diego/Imperial,Increased Significantly,Green,Medium,84.90%
San Dieguito Union High,2018,SwD,San Diego,High School District,Disability Status,currstatus,San Diego/Imperial,Increased Significantly,Green,Medium,85.10%
Escondido Union High,2018,Econ Disadv,San Diego,High School District,Economic Status,currstatus,San Diego/Imperial,Declined,Orange,Medium,82.30%
Julian Union High,2018,Econ Disadv,San Diego,High School District,Economic Status,currstatus,San Diego/Imperial,No Color,No Color,No Color,85.70%
Sweetwater Union High,2018,Econ Disadv,San Diego,High School District,Economic Status,currstatus,San Diego/Imperial,Maintained,Yellow,Medium,83.60%
Fallbrook Union High,2018,Econ Disadv,San Diego,High School District,Economic Status,currstatus,San Diego/Imperial,Increased,Green,Medium,81.70%
